Character,Hex,Logic,Type,Name,Braille
הֱּ,05D4+05B1+05BC,186.0,always,letter Hey dagesh  hataf segol,⠐⠓⠢
הֲּ,05D4+05B2+05BC,186.0,always,letter Hey dagesh  hataf patah,⠐⠓⠒
הֳּ,05D4+05B3+05BC,186.0,always,letter Hey dagesh  hataf qamats,⠐⠓⠜
וֹ,05D5+05B9,201.0,always,holam-vav,⠕
וּ,05D5+05BC,201.0,always,shuruq,⠥
ּו,05BC+05D5,201.0,always,shuruq,⠥
ו,05D5,8.0,letter,vav,⠺
ז,05D6,8.0,letter,zayin,⠵
זּ,05D6+05BC,8.0,letter,zayin with dagesh,⠐⠵
זִּ,05D6+05B4+05BC,186.0,always,letter zayin dagesh with hiriq,⠐⠵⠊
זֵּ,05D6+05B5+05BC,186.0,always,letter zayin dagesh with tsere,⠐⠵⠌
