Hex,Character,Name,Braille
03B5+0313,ἐ,epsilon with psili,⠴⠑
03B5+0314+0300+0345,ἓͅ,epsilon with dasia and varia,⠓⠉⠔
03B5+0314+0300,ἓ,epsilon with dasia and varia,⠓⠉
03B5+0314+0301+0345,ἕͅ,epsilon with dasia and oxia,⠓⠫⠔
03B5+0314+0301,ἕ,epsilon with dasia and oxia,⠓⠫
03B5+0314+0345,ἑͅ,epsilon with dasia,⠓⠑⠔
03B5+0314,ἑ,epsilon with dasia,⠓⠑
03B5+0345,εͅ,epsilon,⠑⠔
03B5+0390+0345,εΐͅ,epsilon and iota with oxia and dialytika,⠑⠔
03B5+0390,εΐ,epsilon and iota with oxia and dialytika,⠑
03B5+03AF+0345,είͅ,epsilon iota with oxia,⠑⠔
03B5+03AF,εί,epsilon iota with oxia,⠑
03B5+03B0+0345,εΰͅ,epsilon upsilon with dialytika and oxia,⠑⠳⠔
03B5+03B0,εΰ,epsilon upsilon with dialytika and oxia,⠑⠳
03B5+03b9+0300+0345,εὲͅ,epsilon iota,⠑⠌⠔
03B5+03b9+0300,εὲ,epsilon iota,⠑⠌
03B5+03b9+0301+0345,εέͅ,epsilon iota,⠑⠔
03B5+03b9+0301,εέ,epsilon iota,⠑
03B5+03b9+0313+0300+0345,εἒͅ,epsilon iota,⠴⠑⠌⠔
03B5+03b9+0313+0300,εἒ,epsilon iota,⠴⠑⠌
03B5+03b9+0313+0301+0345,εἔͅ,epsilon iota,⠴⠑⠔
03B5+03b9+0313+0301,εἔ,epsilon iota,⠴⠑
03B5+03b9+0313+0342+0345,εἐ͂ͅ,epsilon iota,⠴⠑⠩⠔
03B5+03b9+0313+0342,εἐ͂,epsilon iota,⠴⠑⠩
03B5+03b9+0313+0345,εἐͅ,epsilon iota,⠴⠑⠊⠔
03B5+03b9+0313,εἐ,epsilon iota,⠴⠑⠊
03B5+03b9+0314+0300+0345,εἓͅ,epsilon iota,⠓⠑⠌⠔
03B5+03b9+0314+0300,εἓ,epsilon iota,⠓⠑⠌
03B5+03b9+0314+0301+0345,εἕͅ,epsilon iota,⠓⠑⠔
03B5+03b9+0314+0301,εἕ,epsilon iota,⠓⠑
03B5+03b9+0314+0342+0345,εἑ͂ͅ,epsilon iota,⠓⠑⠩⠔
03B5+03b9+0314+0342,εἑ͂,epsilon iota,⠓⠑⠩
03B5+03b9+0314+0345,εἑͅ,epsilon iota,⠓⠑⠊⠔
03B5+03b9+0314,εἑ,epsilon iota,⠓⠑⠊
03B5+03b9+0342+0345,εε͂ͅ,epsilon iota,⠑⠩⠔
03B5+03b9+0342,εε͂,epsilon iota,⠑⠩
03B5+03b9+0345,εεͅ,epsilon iota,⠑⠊⠔
03B5+03b9,εε,epsilon iota,⠑⠊
03B5+03C5+0300+0345,εὺͅ,epsilon upsilon,⠑⠾⠔
03B5+03C5+0300,εὺ,epsilon upsilon,⠑⠾
03B5+03C5+0301+0345,εύͅ,epsilon upsilon,⠑⠳⠔
03B5+03C5+0301,εύ,epsilon upsilon,⠑⠳
03B5+03C5+0313+0300+0345,εὺͅ,epsilon upsilon,⠴⠑⠾⠔
03B5+03C5+0313+0300,εὺ,epsilon upsilon,⠴⠑⠾
03B5+03C5+0313+0301+0345,εύͅ,epsilon upsilon,⠴⠑⠳⠔
03B5+03C5+0313+0301,εύ,epsilon upsilon,⠴⠑⠳
03B5+03C5+0313+0342+0345,εῦͅ,epsilon upsilon,⠴⠑⠧⠔
03B5+03C5+0313+0342,εῦ,epsilon upsilon,⠴⠑⠧
03B5+03C5+0313+0345,ευͅ,epsilon upsilon,⠴⠑⠥⠔
03B5+03C5+0313,ευ,epsilon upsilon,⠴⠑⠥
03B5+03C5+0314+0300+0345,εὓͅ,epsilon upsilon,⠓⠑⠾⠔
03B5+03C5+0314+0300,εὓ,epsilon upsilon,⠓⠑⠾
03B5+03C5+0314+0301+0345,εὕͅ,epsilon upsilon,⠓⠑⠳⠔
03B5+03C5+0314+0301,εὕ,epsilon upsilon,⠓⠑⠳
03B5+03C5+0314+0342+0345,εὕͅ,epsilon upsilon,⠓⠑⠧⠔
03B5+03C5+0314+0342,εὕ,epsilon upsilon,⠓⠑⠧
03B5+03C5+0314+0345,εὑͅ,epsilon upsilon,⠓⠑⠥⠔
03B5+03C5+0314,εὑ,epsilon upsilon,⠓⠑⠥
03B5+03C5+0342+0345,εύͅ,epsilon upsilon,⠑⠧⠔
03B5+03C5+0342,εύ,epsilon upsilon,⠑⠧
03B5+03C5+0345,ευͅ,epsilon upsilon,⠑⠥⠔
03B5+03C5,ευ,epsilon upsilon,⠑⠥
03B5+03CA+0300+0345,εῒͅ,epsilon and iota with Graveand dialytika,⠑⠌⠔
03B5+03CA+0300,εῒ,epsilon and iota with Graveand dialytika,⠑⠌
03B5+03CA+0301+0345,εΐͅ,epsilon and iota with oxia and dialytika,⠑⠔
03B5+03CA+0301,εΐ,epsilon and iota with oxia and dialytika,⠑
03B5+03CA+0342+0345,εῗͅ,epsilon and iota with perispomeni and dialytika,⠑⠩⠔
03B5+03CA+0342,εῗ,epsilon and iota with perispomeni and dialytika,⠑⠩
03B5+03CA+0345,εϊͅ,epsilon and iota with dialytikaa,⠑⠊⠔
03B5+03CA,εϊ,epsilon and iota with dialytikaa,⠑⠊
03B5+03CB+0300+0345,εῢͅ,epsilon and upsilon with Graveand dialytika,⠑⠾⠔
03B5+03CB+0300,εῢ,epsilon and upsilon with Graveand dialytika,⠑⠾
03B5+03CB+0301+0345,εΰͅ,epsilon and upsilon with oxia and dialytika,⠑⠳⠔
03B5+03CB+0301,εΰ,epsilon and upsilon with oxia and dialytika,⠑⠳
03B5+03CB+0342+0345,εῧͅ,epsilon and upsilon with perispomeni and dialytika,⠑⠧⠔
03B5+03CB+0342,εῧ,epsilon and upsilon with perispomeni and dialytika,⠑⠧
03B5+03CB+0345,εϋͅ,epsilon and upsilon with dialytikaa,⠑⠥⠔
03B5+03CB,εϋ,epsilon and upsilon with dialytikaa,⠑⠥
03B5+03CD+0345,εύͅ,epsilon upsilon with oxia,⠑⠳⠔
03B5+03CD,εύ,epsilon upsilon with oxia,⠑⠳
03B5,ε,epsilon,⠑
03B6,ζ,zeta,⠵
03B7+0300+0345,ῂ,eta with varia,⠮⠔
03B7+0300,ὴ,eta with varia,⠮
1F74,ὴ,eta with varia,⠮
03B7+0301+0345,ῄ,eta with oxia,⠿⠔
03B7+0301,ή,eta with oxia,⠿
03B7+0313+0300+0345,ᾒ,eta with psili and varia,⠴⠮⠔
03B7+0313+0300,ἢ,eta with psili and varia,⠴⠮
