Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒀶,73782,𒀶,12036,letter,CUNEIFORM SIGN ARKAB,⠜⠅⠁⠃
𒀷,73783,𒀷,12037,letter,CUNEIFORM SIGN ASAL2,⠁⠎⠁⠇
𒀸,73784,𒀸,12038,letter,CUNEIFORM SIGN ASH,⠁⠩
𒀹,73785,𒀹,12039,letter,CUNEIFORM SIGN ASH ZIDA TENU,⠁⠩ ⠵⠊⠙⠁ ⠞⠑⠝⠥
𒀺,73786,𒀺,1203A,letter,CUNEIFORM SIGN ASH KABA TENU,⠁⠩ ⠅⠁⠃⠁ ⠞⠑⠝⠥
𒀻,73787,𒀻,1203B,letter,CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,⠁⠩⠌⠁⠩ ⠞⠥⠛⠌⠞⠥⠛ ⠞⠥⠛⠌⠞⠥⠛ ⠏⠁⠏
𒀼,73788,𒀼,1203C,letter,CUNEIFORM SIGN ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩
𒀽,73789,𒀽,1203D,letter,CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩⠯⠁⠩⠌⠁⠩⠌⠁⠩
𒀾,73790,𒀾,1203E,letter,CUNEIFORM SIGN ASH2,⠁⠩
𒀿,73791,𒀿,1203F,letter,CUNEIFORM SIGN ASHGAB,⠁⠩⠛⠁⠃
𒁀,73792,𒁀,12040,letter,CUNEIFORM SIGN BA,⠃⠁
𒁁,73793,𒁁,12041,letter,CUNEIFORM SIGN BAD,⠃⠁⠙
𒁂,73794,𒁂,12042,letter,CUNEIFORM SIGN BAG3,⠃⠁⠛⠒
𒁃,73795,𒁃,12043,letter,CUNEIFORM SIGN BAHAR2,⠃⠁⠓⠜
𒁄,73796,𒁄,12044,letter,CUNEIFORM SIGN BAL,⠃⠁⠇
𒁅,73797,𒁅,12045,letter,CUNEIFORM SIGN BAL OVER BAL,⠃⠁⠇⠌⠃⠁⠇
𒁆,73798,𒁆,12046,letter,CUNEIFORM SIGN BALAG,⠃⠁⠇⠁⠛
𒁇,73799,𒁇,12047,letter,CUNEIFORM SIGN BAR,⠃⠜
𒁈,73800,𒁈,12048,letter,CUNEIFORM SIGN BARA2,⠃⠜⠁
𒁉,73801,𒁉,12049,letter,CUNEIFORM SIGN BI,⠃⠊
𒁊,73802,𒁊,1204A,letter,CUNEIFORM SIGN BI TIMES A,⠃⠊⠡⠁
𒁋,73803,𒁋,1204B,letter,CUNEIFORM SIGN BI TIMES GAR,⠃⠊⠡⠛⠜
𒁌,73804,𒁌,1204C,letter,CUNEIFORM SIGN BI TIMES IGI GUNU,⠃⠊⠡⠊⠛⠊ ⠛⠥⠝⠥
𒁍,73805,𒁍,1204D,letter,CUNEIFORM SIGN BU,⠃⠥
𒁎,73806,𒁎,1204E,letter,CUNEIFORM SIGN BU OVER BU AB,⠃⠥⠌⠃⠥ ⠁⠃
