Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒆻,74171,𒆻,121BB,letter,CUNEIFORM SIGN LAGAB TIMES A PLUS GAR,⠇⠁⠛⠁⠃⠡⠁⠬⠛⠜
𒆼,74172,𒆼,121BC,letter,CUNEIFORM SIGN LAGAB TIMES A PLUS LAL,⠇⠁⠛⠁⠃⠡⠁⠬⠇⠁⠇
𒆽,74173,𒆽,121BD,letter,CUNEIFORM SIGN LAGAB TIMES AL,⠇⠁⠛⠁⠃⠡⠁⠇
𒆾,74174,𒆾,121BE,letter,CUNEIFORM SIGN LAGAB TIMES AN,⠇⠁⠛⠁⠃⠡⠁⠝
𒆿,74175,𒆿,121BF,letter,CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU,⠇⠁⠛⠁⠃⠡⠁⠩ ⠵⠊⠙⠁ ⠞⠑⠝⠥
𒇀,74176,𒇀,121C0,letter,CUNEIFORM SIGN LAGAB TIMES BAD,⠇⠁⠛⠁⠃⠡⠃⠁⠙
𒇁,74177,𒇁,121C1,letter,CUNEIFORM SIGN LAGAB TIMES BI,⠇⠁⠛⠁⠃⠡⠃⠊
𒇂,74178,𒇂,121C2,letter,CUNEIFORM SIGN LAGAB TIMES DAR,⠇⠁⠛⠁⠃⠡⠙⠜
𒇃,74179,𒇃,121C3,letter,CUNEIFORM SIGN LAGAB TIMES EN,⠇⠁⠛⠁⠃⠡⠑⠝
𒇄,74180,𒇄,121C4,letter,CUNEIFORM SIGN LAGAB TIMES GA,⠇⠁⠛⠁⠃⠡⠛⠁
𒇅,74181,𒇅,121C5,letter,CUNEIFORM SIGN LAGAB TIMES GAR,⠇⠁⠛⠁⠃⠡⠛⠜
𒇆,74182,𒇆,121C6,letter,CUNEIFORM SIGN LAGAB TIMES GUD,⠇⠁⠛⠁⠃⠡⠛⠥⠙
𒇇,74183,𒇇,121C7,letter,CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD,⠇⠁⠛⠁⠃⠡⠛⠥⠙⠬⠛⠥⠙
𒇈,74184,𒇈,121C8,letter,CUNEIFORM SIGN LAGAB TIMES HA,⠇⠁⠛⠁⠃⠡⠓⠁
𒇉,74185,𒇉,121C9,letter,CUNEIFORM SIGN LAGAB TIMES HAL,⠇⠁⠛⠁⠃⠡⠓⠁⠇
𒇊,74186,𒇊,121CA,letter,CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN,⠇⠁⠛⠁⠃⠡⠓⠊⠡⠝⠥⠝
𒇋,74187,𒇋,121CB,letter,CUNEIFORM SIGN LAGAB TIMES IGI GUNU,⠇⠁⠛⠁⠃⠡⠊⠛⠊ ⠛⠥⠝⠥
𒇌,74188,𒇌,121CC,letter,CUNEIFORM SIGN LAGAB TIMES IM,⠇⠁⠛⠁⠃⠡⠊⠍
𒇍,74189,𒇍,121CD,letter,CUNEIFORM SIGN LAGAB TIMES IM PLUS HA,⠇⠁⠛⠁⠃⠡⠊⠍⠬⠓⠁
𒇎,74190,𒇎,121CE,letter,CUNEIFORM SIGN LAGAB TIMES IM PLUS LU,⠇⠁⠛⠁⠃⠡⠊⠍⠬⠇⠥
𒇏,74191,𒇏,121CF,letter,CUNEIFORM SIGN LAGAB TIMES KI,⠇⠁⠛⠁⠃⠡⠅⠊
𒇐,74192,𒇐,121D0,letter,CUNEIFORM SIGN LAGAB TIMES KIN,⠇⠁⠛⠁⠃⠡⠅⠊⠝
𒇑,74193,𒇑,121D1,letter,CUNEIFORM SIGN LAGAB TIMES KU3,⠇⠁⠛⠁⠃⠡⠅⠥⠒
𒇒,74194,𒇒,121D2,letter,CUNEIFORM SIGN LAGAB TIMES KUL,⠇⠁⠛⠁⠃⠡⠅⠥⠇
𒇓,74195,𒇓,121D3,letter,CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A,⠇⠁⠛⠁⠃⠡⠅⠥⠇⠬⠓⠊⠬⠁
𒇔,74196,𒇔,121D4,letter,CUNEIFORM SIGN LAGAB TIMES LAGAB,⠇⠁⠛⠁⠃⠡⠇⠁⠛⠁⠃
𒇕,74197,𒇕,121D5,letter,CUNEIFORM SIGN LAGAB TIMES LISH,⠇⠁⠛⠁⠃⠡⠇⠊⠩
𒇖,74198,𒇖,121D6,letter,CUNEIFORM SIGN LAGAB TIMES LU,⠇⠁⠛⠁⠃⠡⠇⠥
𒇗,74199,𒇗,121D7,letter,CUNEIFORM SIGN LAGAB TIMES LUL,⠇⠁⠛⠁⠃⠡⠇⠥⠇
𒇘,74200,𒇘,121D8,letter,CUNEIFORM SIGN LAGAB TIMES ME,⠇⠁⠛⠁⠃⠡⠍⠑
𒇙,74201,𒇙,121D9,letter,CUNEIFORM SIGN LAGAB TIMES ME PLUS EN,⠇⠁⠛⠁⠃⠡⠍⠑⠬⠑⠝
𒇚,74202,𒇚,121DA,letter,CUNEIFORM SIGN LAGAB TIMES MUSH,⠇⠁⠛⠁⠃⠡⠍⠥⠩
𒇛,74203,𒇛,121DB,letter,CUNEIFORM SIGN LAGAB TIMES NE,⠇⠁⠛⠁⠃⠡⠝⠑
𒇜,74204,𒇜,121DC,letter,CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM,⠇⠁⠛⠁⠃⠡⠩⠑⠬⠎⠥⠍
𒇝,74205,𒇝,121DD,letter,CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,⠇⠁⠛⠁⠃⠡⠩⠊⠞⠁⠬⠛⠊⠩⠬⠑⠗⠊⠝
𒇞,74206,𒇞,121DE,letter,CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU,⠇⠁⠛⠁⠃⠡⠩⠊⠞⠁⠬⠛⠊⠩ ⠞⠑⠝⠥
𒇟,74207,𒇟,121DF,letter,CUNEIFORM SIGN LAGAB TIMES SHU2,⠇⠁⠛⠁⠃⠡⠩⠥
𒇠,74208,𒇠,121,letter,CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2,⠇⠁⠛⠁⠃⠡⠩⠥⠬⠩⠥
𒇡,74209,𒇡,1210,letter,CUNEIFORM SIGN LAGAB TIMES SUM,⠇⠁⠛⠁⠃⠡⠎⠥⠍
𒇢,74210,𒇢,121E2,letter,CUNEIFORM SIGN LAGAB TIMES TAG,⠇⠁⠛⠁⠃⠡⠞⠁⠛
𒇣,74211,𒇣,121e3,letter,CUNEIFORM SIGN LAGAB TIMES TAK4,⠇⠁⠛⠁⠃⠡⠞⠁⠅⠲
𒇤,74212,𒇤,121e4,letter,CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA,⠇⠁⠛⠁⠃⠡⠞⠑⠬⠁⠬⠎⠥⠬⠝⠁
𒇥,74213,𒇥,121e5,letter,CUNEIFORM SIGN LAGAB TIMES U,⠇⠁⠛⠁⠃⠡⠥
𒇦,74214,𒇦,121e6,letter,CUNEIFORM SIGN LAGAB TIMES U PLUS A,⠇⠁⠛⠁⠃⠡⠥⠬⠁
𒇧,74215,𒇧,121e7,letter,CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U,⠇⠁⠛⠁⠃⠡⠥⠬⠥⠬⠥
𒇨,74216,𒇨,121e8,letter,CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH,⠇⠁⠛⠁⠃⠡⠥⠬⠁⠩
𒇩,74217,𒇩,121e9,letter,CUNEIFORM SIGN LAGAB TIMES UD,⠇⠁⠛⠁⠃⠡⠥⠙
𒇪,74218,𒇪,121EA,letter,CUNEIFORM SIGN LAGAB TIMES USH,⠇⠁⠛⠁⠃⠡⠥⠩
𒇫,74219,𒇫,121EB,letter,CUNEIFORM SIGN LAGAB SQUARED,⠇⠁⠛⠁⠃⠘⠸
𒇬,74220,𒇬,121EC,letter,CUNEIFORM SIGN LAGAR,⠇⠁⠛⠜
𒇭,74221,𒇭,121ED,letter,CUNEIFORM SIGN LAGAR TIMES SHE,⠇⠁⠛⠜⠡⠩⠑
𒇮,74222,𒇮,121EE,letter,CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM,⠇⠁⠛⠜⠡⠩⠑⠬⠎⠥⠍
𒇯,74223,𒇯,121EF,letter,CUNEIFORM SIGN LAGAR GUNU,⠇⠁⠛⠜ ⠛⠥⠝⠥
𒇰,74224,𒇰,121F0,letter,CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE,⠇⠁⠛⠜ ⠛⠥⠝⠥⠌⠇⠁⠛⠜ ⠛⠥⠝⠥ ⠩⠑
𒇱,74225,𒇱,121F1,letter,CUNEIFORM SIGN LAHSHU,⠇⠁⠓⠩⠥
𒇲,74226,𒇲,121F2,letter,CUNEIFORM SIGN LAL,⠇⠁⠇
𒇳,74227,𒇳,121F3,letter,CUNEIFORM SIGN LAL TIMES LAL,⠇⠁⠇⠡⠇⠁⠇
𒇴,74228,𒇴,121F4,letter,CUNEIFORM SIGN LAM,⠇⠁⠍
𒇵,74229,𒇵,121F5,letter,CUNEIFORM SIGN LAM TIMES KUR,⠇⠁⠍⠡⠅⠥⠗
𒇶,74230,𒇶,121F6,letter,CUNEIFORM SIGN LAM TIMES KUR PLUS RU,⠇⠁⠍⠡⠅⠥⠗⠬⠗⠥
𒇷,74231,𒇷,121F7,letter,CUNEIFORM SIGN LI,⠇⠊
𒇸,74232,𒇸,121F8,letter,CUNEIFORM SIGN LIL,⠇⠊⠇
𒇹,74233,𒇹,121F9,letter,CUNEIFORM SIGN LIMMU2,⠇⠊⠍⠍⠥
𒇺,74234,𒇺,121FA,letter,CUNEIFORM SIGN LISH,⠇⠊⠩
𒇻,74235,𒇻,121FB,letter,CUNEIFORM SIGN LU,⠇⠥
𒇼,74236,𒇼,121FC,letter,CUNEIFORM SIGN LU TIMES BAD,⠇⠥⠡⠃⠁⠙
𒇽,74237,𒇽,121FD,letter,CUNEIFORM SIGN LU2,⠇⠥
𒇾,74238,𒇾,121FE,letter,CUNEIFORM SIGN LU2 TIMES AL,⠇⠥⠡⠁⠇
𒇿,74239,𒇿,121FF,letter,CUNEIFORM SIGN LU2 TIMES BAD,⠇⠥⠡⠃⠁⠙
𒈀,74240,𒈀,12200,letter,CUNEIFORM SIGN LU2 TIMES ESH2,⠇⠥⠡⠑⠩
𒈁,74241,𒈁,12201,letter,CUNEIFORM SIGN LU2 TIMES ESH2 TENU,⠇⠥⠡⠑⠩ ⠞⠑⠝⠥
𒈂,74242,𒈂,12202,letter,CUNEIFORM SIGN LU2 TIMES GAN2 TENU,⠇⠥⠡⠛⠁⠝ ⠞⠑⠝⠥
𒈃,74243,𒈃,12203,letter,CUNEIFORM SIGN LU2 TIMES HI TIMES BAD,⠇⠥⠡⠓⠊⠡⠃⠁⠙
𒈄,74244,𒈄,12204,letter,CUNEIFORM SIGN LU2 TIMES IM,⠇⠥⠡⠊⠍
𒈅,74245,𒈅,12205,letter,CUNEIFORM SIGN LU2 TIMES KAD2,⠇⠥⠡⠅⠁⠙
𒈆,74246,𒈆,12206,letter,CUNEIFORM SIGN LU2 TIMES KAD3,⠇⠥⠡⠅⠁⠙⠒
𒈇,74247,𒈇,12207,letter,CUNEIFORM SIGN LU2 TIMES KAD3 PLUS ASH,⠇⠥⠡⠅⠁⠙⠒⠬⠁⠩
𒈈,74248,𒈈,12208,letter,CUNEIFORM SIGN LU2 TIMES KI,⠇⠥⠡⠅⠊
𒈉,74249,𒈉,12209,letter,CUNEIFORM SIGN LU2 TIMES LA PLUS ASH,⠇⠥⠡⠇⠁⠬⠁⠩
𒈊,74250,𒈊,1220A,letter,CUNEIFORM SIGN LU2 TIMES LAGAB,⠇⠥⠡⠇⠁⠛⠁⠃
𒈋,74251,𒈋,1220B,letter,CUNEIFORM SIGN LU2 TIMES ME PLUS EN,⠇⠥⠡⠍⠑⠬⠑⠝
𒈌,74252,𒈌,1220C,letter,CUNEIFORM SIGN LU2 TIMES NE,⠇⠥⠡⠝⠑
𒈍,74253,𒈍,1220D,letter,CUNEIFORM SIGN LU2 TIMES NU,⠇⠥⠡⠝⠥
𒈎,74254,𒈎,1220E,letter,CUNEIFORM SIGN LU2 TIMES SI PLUS ASH,⠇⠥⠡⠎⠊⠬⠁⠩
𒈏,74255,𒈏,1220F,letter,CUNEIFORM SIGN LU2 TIMES SIK2 PLUS BU,⠇⠥⠡⠎⠊⠅⠬⠃⠥
𒈐,74256,𒈐,12210,letter,CUNEIFORM SIGN LU2 TIMES TUG2,⠇⠥⠡⠞⠥⠛
𒈑,74257,𒈑,12211,letter,CUNEIFORM SIGN LU2 TENU,⠇⠥ ⠞⠑⠝⠥
𒈒,74258,𒈒,12212,letter,CUNEIFORM SIGN LU2 CROSSING LU2,⠇⠥⠯⠇⠥
𒈓,74259,𒈓,12213,letter,CUNEIFORM SIGN LU2 OPPOSING LU2,⠇⠥⠫⠇⠥
𒈔,74260,𒈔,12214,letter,CUNEIFORM SIGN LU2 SQUARED,⠇⠥⠘⠸
𒈕,74261,𒈕,12215,letter,CUNEIFORM SIGN LU2 SHESHIG,⠇⠥ ⠩⠑⠩⠊⠛
𒈖,74262,𒈖,12216,letter,CUNEIFORM SIGN LU3,⠇⠥⠒
𒈗,74263,𒈗,12217,letter,CUNEIFORM SIGN LUGAL,⠇⠥⠛⠁⠇
𒈘,74264,𒈘,12218,letter,CUNEIFORM SIGN LUGAL OVER LUGAL,⠇⠥⠛⠁⠇⠌⠇⠥⠛⠁⠇
𒈙,74265,𒈙,12219,letter,CUNEIFORM SIGN LUGAL OPPOSING LUGAL,⠇⠥⠛⠁⠇⠫⠇⠥⠛⠁⠇
𒈚,74266,𒈚,1221A,letter,CUNEIFORM SIGN LUGAL SHESHIG,⠇⠥⠛⠁⠇ ⠩⠑⠩⠊⠛
𒈛,74267,𒈛,1221B,letter,CUNEIFORM SIGN LUH,⠇⠥⠓
𒈜,74268,𒈜,1221C,letter,CUNEIFORM SIGN LUL,⠇⠥⠇
𒈝,74269,𒈝,1221D,letter,CUNEIFORM SIGN LUM,⠇⠥⠍
𒈞,74270,𒈞,1221E,letter,CUNEIFORM SIGN LUM OVER LUM,⠇⠥⠍⠌⠇⠥⠍
𒈟,74271,𒈟,1221F,letter,CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR,⠇⠥⠍⠌⠇⠥⠍ ⠛⠜⠌⠛⠜
𒈠,74272,𒈠,12220,letter,CUNEIFORM SIGN MA,⠍⠁
𒈡,74273,𒈡,12221,letter,CUNEIFORM SIGN MA TIMES TAK4,⠍⠁⠡⠞⠁⠅⠲
𒈢,74274,𒈢,12222,letter,CUNEIFORM SIGN MA GUNU,⠍⠁ ⠛⠥⠝⠥
𒈣,74275,𒈣,12223,letter,CUNEIFORM SIGN MA2,⠍⠁
𒈤,74276,𒈤,12224,letter,CUNEIFORM SIGN MAH,⠍⠁⠓
𒈥,74277,𒈥,12225,letter,CUNEIFORM SIGN MAR,⠍⠜
𒈦,74278,𒈦,12226,letter,CUNEIFORM SIGN MASH,⠍⠁⠩
𒈧,74279,𒈧,12227,letter,CUNEIFORM SIGN MASH2,⠍⠁⠩
𒈨,74280,𒈨,12228,letter,CUNEIFORM SIGN ME,⠍⠑
𒈩,74281,𒈩,12229,letter,CUNEIFORM SIGN MES,⠍⠑⠎
𒈪,74282,𒈪,1222A,letter,CUNEIFORM SIGN MI,⠍⠊
𒈫,74283,𒈫,1222B,letter,CUNEIFORM SIGN MIN,⠍⠊⠝
𒈬,74284,𒈬,1222C,letter,CUNEIFORM SIGN MU,⠍⠥
𒈭,74285,𒈭,1222D,letter,CUNEIFORM SIGN MU OVER MU,⠍⠥⠌⠍⠥
𒈮,74286,𒈮,1222E,letter,CUNEIFORM SIGN MUG,⠍⠥⠛
𒈯,74287,𒈯,1222F,letter,CUNEIFORM SIGN MUG GUNU,⠍⠥⠛ ⠛⠥⠝⠥
𒈰,74288,𒈰,12230,letter,CUNEIFORM SIGN MUNSUB,⠍⠥⠝⠎⠥⠃
𒈱,74289,𒈱,12231,letter,CUNEIFORM SIGN MURGU2,⠍⠥⠗⠛⠥
𒈲,74290,𒈲,12232,letter,CUNEIFORM SIGN MUSH,⠍⠥⠩
𒈳,74291,𒈳,12233,letter,CUNEIFORM SIGN MUSH TIMES A,⠍⠥⠩⠡⠁
𒈴,74292,𒈴,12234,letter,CUNEIFORM SIGN MUSH TIMES KUR,⠍⠥⠩⠡⠅⠥⠗
𒈵,74293,𒈵,12235,letter,CUNEIFORM SIGN MUSH TIMES ZA,⠍⠥⠩⠡⠵⠁
𒈶,74294,𒈶,12236,letter,CUNEIFORM SIGN MUSH OVER MUSH,⠍⠥⠩⠌⠍⠥⠩
𒈷,74295,𒈷,12237,letter,CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA,⠍⠥⠩⠌⠍⠥⠩⠡⠁⠬⠝⠁
𒈸,74296,𒈸,12238,letter,CUNEIFORM SIGN MUSH CROSSING MUSH,⠍⠥⠩⠯⠍⠥⠩
𒈹,74297,𒈹,12239,letter,CUNEIFORM SIGN MUSH3,⠍⠥⠩⠒
𒈺,74298,𒈺,1223A,letter,CUNEIFORM SIGN MUSH3 TIMES A,⠍⠥⠩⠒⠡⠁
𒈻,74299,𒈻,1223B,letter,CUNEIFORM SIGN MUSH3 TIMES A PLUS DI,⠍⠥⠩⠒⠡⠁⠬⠙⠊
𒈼,74300,𒈼,1223C,letter,CUNEIFORM SIGN MUSH3 TIMES DI,⠍⠥⠩⠒⠡⠙⠊
𒈽,74301,𒈽,1223D,letter,CUNEIFORM SIGN MUSH3 GUNU,⠍⠥⠩⠒ ⠛⠥⠝⠥
𒈾,74302,𒈾,1223E,letter,CUNEIFORM SIGN NA,⠝⠁
𒈿,74303,𒈿,1223F,letter,CUNEIFORM SIGN NA2,⠝⠁
𒉀,74304,𒉀,12240,letter,CUNEIFORM SIGN NAGA,⠝⠁⠛⠁
𒉁,74305,𒉁,12241,letter,CUNEIFORM SIGN NAGA INVERTED,⠝⠁⠛⠁ ⠊⠝⠧⠑⠗⠞⠑⠙
𒉂,74306,𒉂,12242,letter,CUNEIFORM SIGN NAGA TIMES SHU TENU,⠝⠁⠛⠁⠡⠩⠥ ⠞⠑⠝⠥
𒉃,74307,𒉃,12243,letter,CUNEIFORM SIGN NAGA OPPOSING NAGA,⠝⠁⠛⠁⠫⠝⠁⠛⠁
𒉄,74308,𒉄,12244,letter,CUNEIFORM SIGN NAGAR,⠝⠁⠛⠜
𒉅,74309,𒉅,12245,letter,CUNEIFORM SIGN NAM NUTILLU,⠝⠁⠍ ⠝⠥⠞⠊⠇⠇⠥
𒉆,74310,𒉆,12246,letter,CUNEIFORM SIGN NAM,⠝⠁⠍
𒉇,74311,𒉇,12247,letter,CUNEIFORM SIGN NAM2,⠝⠁⠍
𒉈,74312,𒉈,12248,letter,CUNEIFORM SIGN NE,⠝⠑
𒉉,74313,𒉉,12249,letter,CUNEIFORM SIGN NE TIMES A,⠝⠑⠡⠁
𒉊,74314,𒉊,1224A,letter,CUNEIFORM SIGN NE TIMES UD,⠝⠑⠡⠥⠙
𒉋,74315,𒉋,1224B,letter,CUNEIFORM SIGN NE SHESHIG,⠝⠑ ⠩⠑⠩⠊⠛
𒉌,74316,𒉌,1224C,letter,CUNEIFORM SIGN NI,⠝⠊
𒉍,74317,𒉍,1224D,letter,CUNEIFORM SIGN NI TIMES E,⠝⠊⠡⠑
𒉎,74318,𒉎,1224E,letter,CUNEIFORM SIGN NI2,⠝⠊
𒉏,74319,𒉏,1224F,letter,CUNEIFORM SIGN NIM,⠝⠊⠍
𒉐,74320,𒉐,12250,letter,CUNEIFORM SIGN NIM TIMES GAN2 TENU,⠝⠊⠍⠡⠛⠁⠝ ⠞⠑⠝⠥
𒉑,74321,𒉑,12251,letter,CUNEIFORM SIGN NIM TIMES GAR PLUS GAN2 TENU,⠝⠊⠍⠡⠛⠜⠬⠛⠁⠝ ⠞⠑⠝⠥
𒉒,74322,𒉒,12252,letter,CUNEIFORM SIGN NINDA2,⠝⠊⠝⠙⠁
𒉓,74323,𒉓,12253,letter,CUNEIFORM SIGN NINDA2 TIMES AN,⠝⠊⠝⠙⠁⠡⠁⠝
𒉔,74324,𒉔,12254,letter,CUNEIFORM SIGN NINDA2 TIMES ASH,⠝⠊⠝⠙⠁⠡⠁⠩
𒉕,74325,𒉕,12255,letter,CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH,⠝⠊⠝⠙⠁⠡⠁⠩⠬⠁⠩
𒉖,74326,𒉖,12256,letter,CUNEIFORM SIGN NINDA2 TIMES GUD,⠝⠊⠝⠙⠁⠡⠛⠥⠙
𒉗,74327,𒉗,12257,letter,CUNEIFORM SIGN NINDA2 TIMES ME PLUS GAN2 TENU,⠝⠊⠝⠙⠁⠡⠍⠑⠬⠛⠁⠝ ⠞⠑⠝⠥
𒉘,74328,𒉘,12258,letter,CUNEIFORM SIGN NINDA2 TIMES NE,⠝⠊⠝⠙⠁⠡⠝⠑
𒉙,74329,𒉙,12259,letter,CUNEIFORM SIGN NINDA2 TIMES NUN,⠝⠊⠝⠙⠁⠡⠝⠥⠝
𒉚,74330,𒉚,1225A,letter,CUNEIFORM SIGN NINDA2 TIMES SHE,⠝⠊⠝⠙⠁⠡⠩⠑
𒉛,74331,𒉛,1225B,letter,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN,⠝⠊⠝⠙⠁⠡⠩⠑⠬⠁ ⠁⠝
𒉜,74332,𒉜,1225C,letter,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH,⠝⠊⠝⠙⠁⠡⠩⠑⠬⠁⠩
𒉝,74333,𒉝,1225D,letter,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH PLUS ASH,⠝⠊⠝⠙⠁⠡⠩⠑⠬⠁⠩⠬⠁⠩
𒉞,74334,𒉞,1225E,letter,CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH,⠝⠊⠝⠙⠁⠡⠥⠬⠁⠩
𒉟,74335,𒉟,1225F,letter,CUNEIFORM SIGN NINDA2 TIMES USH,⠝⠊⠝⠙⠁⠡⠥⠩
𒉠,74336,𒉠,12260,letter,CUNEIFORM SIGN NISAG,⠝⠊⠎⠁⠛
𒉡,74337,𒉡,12261,letter,CUNEIFORM SIGN NU,⠝⠥
𒉢,74338,𒉢,12262,letter,CUNEIFORM SIGN NU11,⠝⠥⠂⠂
𒉣,74339,𒉣,12263,letter,CUNEIFORM SIGN NUN,⠝⠥⠝
𒉤,74340,𒉤,12264,letter,CUNEIFORM SIGN NUN LAGAR TIMES GAR,⠝⠥⠝ ⠇⠁⠛⠜⠡⠛⠜
𒉥,74341,𒉥,12265,letter,CUNEIFORM SIGN NUN LAGAR TIMES MASH,⠝⠥⠝ ⠇⠁⠛⠜⠡⠍⠁⠩
𒉦,74342,𒉦,12266,letter,CUNEIFORM SIGN NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇
𒉧,74343,𒉧,12267,letter,CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇⠌⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇
𒉨,74344,𒉨,12268,letter,CUNEIFORM SIGN NUN LAGAR TIMES USH,⠝⠥⠝ ⠇⠁⠛⠜⠡⠥⠩
𒉩,74345,𒉩,12269,letter,CUNEIFORM SIGN NUN TENU,⠝⠥⠝ ⠞⠑⠝⠥
𒉪,74346,𒉪,1226A,letter,CUNEIFORM SIGN NUN OVER NUN,⠝⠥⠝⠌⠝⠥⠝
𒉫,74347,𒉫,1226B,letter,CUNEIFORM SIGN NUN CROSSING NUN,⠝⠥⠝⠯⠝⠥⠝
𒉬,74348,𒉬,1226C,letter,CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR,⠝⠥⠝⠯⠝⠥⠝ ⠇⠁⠛⠜⠌⠇⠁⠛⠜
𒉭,74349,𒉭,1226D,letter,CUNEIFORM SIGN NUNUZ,⠝⠥⠝⠥
𒉮,74350,𒉮,1226E,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES ASHGAB,⠝⠥⠝⠥⠵ ⠁⠃⠡⠁⠩⠛⠁⠃
𒉯,74351,𒉯,1226F,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES BI,⠝⠥⠝⠥⠵ ⠁⠃⠡⠃⠊
𒉰,74352,𒉰,12270,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES DUG,⠝⠥⠝⠥⠵ ⠁⠃⠡⠙⠥⠛
𒉱,74353,𒉱,12271,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES GUD,⠝⠥⠝⠥⠵ ⠁⠃⠡⠛⠥⠙
𒉲,74354,𒉲,12272,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES IGI GUNU,⠝⠥⠝⠥⠵ ⠁⠃⠡⠊⠛⠊ ⠛⠥⠝⠥
𒉳,74355,𒉳,12273,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES KAD3,⠝⠥⠝⠥⠵ ⠁⠃⠡⠅⠁⠙⠒
𒉴,74356,𒉴,12274,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES LA,⠝⠥⠝⠥⠵ ⠁⠃⠡⠇⠁
𒉵,74357,𒉵,12275,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES NE,⠝⠥⠝⠥⠵ ⠁⠃⠡⠝⠑
𒉶,74358,𒉶,12276,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES SILA3,⠝⠥⠝⠥⠵ ⠁⠃⠡⠎⠊⠇⠁⠒
𒉷,74359,𒉷,12277,letter,CUNEIFORM SIGN NUNUZ AB2 TIMES U2,⠝⠥⠝⠥⠵ ⠁⠃⠡⠥
𒉸,74360,𒉸,12278,letter,CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI,⠝⠥⠝⠥⠵ ⠅⠊⠎⠊⠍⠢⠡⠃⠊
𒉹,74361,𒉹,12279,letter,CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI U,⠝⠥⠝⠥⠵ ⠅⠊⠎⠊⠍⠢⠡⠃⠊ ⠥
𒉺,74362,𒉺,1227A,letter,CUNEIFORM SIGN PA,⠏⠁
𒉻,74363,𒉻,1227B,letter,CUNEIFORM SIGN PAD,⠏⠁⠙
𒉼,74364,𒉼,1227C,letter,CUNEIFORM SIGN PAN,⠏⠁⠝
𒉽,74365,𒉽,1227D,letter,CUNEIFORM SIGN PAP,⠏⠁⠏
𒉾,74366,𒉾,1227E,letter,CUNEIFORM SIGN PESH2,⠏⠑⠩
𒉿,74367,𒉿,1227F,letter,CUNEIFORM SIGN PI,⠏⠊
𒊀,74368,𒊀,12280,letter,CUNEIFORM SIGN PI TIMES A,⠏⠊⠡⠁
𒊁,74369,𒊁,12281,letter,CUNEIFORM SIGN PI TIMES AB,⠏⠊⠡⠁⠃
𒊂,74370,𒊂,12282,letter,CUNEIFORM SIGN PI TIMES BI,⠏⠊⠡⠃⠊
𒊃,74371,𒊃,12283,letter,CUNEIFORM SIGN PI TIMES BU,⠏⠊⠡⠃⠥
𒊄,74372,𒊄,12284,letter,CUNEIFORM SIGN PI TIMES E,⠏⠊⠡⠑
𒊅,74373,𒊅,12285,letter,CUNEIFORM SIGN PI TIMES I,⠏⠊⠡⠊
𒊆,74374,𒊆,12286,letter,CUNEIFORM SIGN PI TIMES IB,⠏⠊⠡⠊⠃
𒊇,74375,𒊇,12287,letter,CUNEIFORM SIGN PI TIMES U,⠏⠊⠡⠥
𒊈,74376,𒊈,12288,letter,CUNEIFORM SIGN PI TIMES U2,⠏⠊⠡⠥
