Character,Hex,Logic,Type,Name,Braille
𒂘,12098,165,letter,BURU14,⠃⠥⠗⠥⠂⠲
𒂙,12099,238,letter,ENxGAN2tenu,⠑⠝⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒂚,1209A,164lig2,letter,ENxME,⠑⠝⠭⠍⠑
𒂛,1209B,238,letter,ENcrossingEN,⠑⠝⠉⠗⠕⠎⠎⠊⠝⠛⠑⠝
𒂜,1209C,238,letter,ENopposingEN,⠑⠝⠕⠏⠏⠕⠎⠊⠝⠛⠑⠝
𒂝,1209D,238,letter,ENsquared,⠑⠝⠎⠟⠥⠜⠑⠙
𒂞,1209E,818,letter,EREN,⠑⠗⠑⠝
𒂟,1209F,612,letter,ERIM,⠑⠗⠊⠍
𒂠,120A0,810,letter,shE3,⠩⠑⠒
𒂡,120A1,271,letter,IZIN,⠊⠵⠊⠝
𒂢,120A2,288,letter,EZENxA,⠑⠵⠑⠝⠭⠁
𒂣,120A3,289,letter,SIL7,⠎⠊⠇⠶
𒂤,120A4,290,letter,ASILAL4,⠁⠎⠊⠇⠁⠇⠲
𒂥,120A5,238,letter,EZENxAN,⠑⠵⠑⠝⠭⠁⠝
𒂦,120A6,275,letter,UG5,⠥⠛⠢
𒂧,120A7,287,letter,EZENxDUN3gunu,⠑⠵⠑⠝⠭⠙⠥⠝⠒⠛⠥⠝⠥
𒂨,120A8,238,letter,EZENxDUN3gunugunu,⠑⠵⠑⠝⠭⠙⠥⠝⠒⠛⠥⠝⠥⠛⠥⠝⠥
𒂩,120A9,291,letter,EZENxHA,⠑⠵⠑⠝⠭⠓⠁
𒂪,120AA,238,letter,EZENxHAgunu,⠑⠵⠑⠝⠭⠓⠁⠛⠥⠝⠥
𒂫,120AB,238,letter,EZENxIGIgunu,⠑⠵⠑⠝⠭⠊⠛⠊⠛⠥⠝⠥
𒂬,120AC,277,letter,EZENxKASKAL,⠑⠵⠑⠝⠭⠅⠁⠎⠅⠁⠇
𒂭,120AD,238,letter,EZENxKASKALsquared,⠑⠵⠑⠝⠭⠅⠁⠎⠅⠁⠇⠎⠟⠥⠜⠑⠙
𒂮,120AE,284,letter,EZENxKU3,⠑⠵⠑⠝⠭⠅⠥⠒
𒂯,120AF,274,letter,EZENxLA,⠑⠵⠑⠝⠭⠇⠁
𒂰,120B0,238,letter,EZENxLALxLAL,⠑⠵⠑⠝⠭⠇⠁⠇⠭⠇⠁⠇
𒂱,120B1,273,letter,EZENxLI,⠑⠵⠑⠝⠭⠇⠊
𒂲,120B2,286,letter,EZENxLU,⠑⠵⠑⠝⠭⠇⠥
𒂳,120B3,279,letter,EZENxU2,⠑⠵⠑⠝⠭⠥⠆
𒂴,120B4,283,letter,EZENxUD,⠑⠵⠑⠝⠭⠥⠙
𒂵,120B5,491,letter,GA,⠛⠁
𒂶,120B6,492,letter,GAgunu,⠛⠁⠛⠥⠝⠥
𒂷,120B7,387,letter,GA2,⠛⠁⠆
𒂸,120B8,428,letter,GA2xA+DA+HA,⠛⠁⠆⠭⠁⠬⠙⠁⠬⠓⠁
𒂹,120B9,238,letter,GA2xA+HA,⠛⠁⠆⠭⠁⠬⠓⠁
𒂺,120BA,429,letter,GA2xA+IGI,⠛⠁⠆⠭⠁⠬⠊⠛⠊
𒂻,120BB,423?,letter,GA2xAB2tenu+TAB,⠛⠁⠆⠭⠁⠃⠆⠞⠑⠝⠥⠬⠞⠁⠃
𒂼,120BC,392,letter,AMA,⠁⠍⠁
𒂽,120BD,389,letter,GA2xAsh,⠛⠁⠆⠭⠁⠩
𒂾,120BE,414,letter,GA2xAsh2+GAL,⠛⠁⠆⠭⠁⠩⠆⠬⠛⠁⠇
