Character,Hex,Type,Name,Braille
𒇟,121DF,letter,LAGABxshU2,⠇⠁⠛⠁⠃⠭⠩⠥⠆
𒇠,121E0,letter,LAGABxshU2+shU2,⠇⠁⠛⠁⠃⠭⠩⠥⠆⠬⠩⠥⠆
𒇡,121E1,letter,ZAR,⠵⠜
𒇢,121E2,letter,LAGABxTAG,⠇⠁⠛⠁⠃⠭⠞⠁⠛
𒇣,121E3,letter,LAGABxTAK4,⠇⠁⠛⠁⠃⠭⠞⠁⠅⠲
𒇤,121E4,letter,LAGABxTE+A+SU+NA,⠇⠁⠛⠁⠃⠭⠞⠑⠬⠁⠬⠎⠥⠬⠝⠁
𒇥,121E5,letter,GIGIR,⠛⠊⠛⠊⠗
𒇦,121E6,letter,LAGABxU+A,⠇⠁⠛⠁⠃⠭⠥⠬⠁
𒇧,121E7,letter,BUL,⠃⠥⠇
𒈆,12206,letter,LU2xKAD2,⠇⠥⠆⠭⠅⠁⠙⠆
𒈇,12207,letter,LU2xKAD3,⠇⠥⠆⠭⠅⠁⠙⠒
𒈈,12208,letter,LU2xKAD3+Ash,⠇⠥⠆⠭⠅⠁⠙⠒⠬⠁⠩
𒈉,12209,letter,LU2xKI,⠇⠥⠆⠭⠅⠊
𒈦,12226,letter,MAR,⠍⠜
𒈧,12227,letter,MAsh,⠍⠁⠩
𒈨,12228,letter,MAsh2,⠍⠁⠩⠆
𒈩,12229,letter,ME,⠍⠑
𒈪,1222A,letter,RID,⠗⠊⠙
𒈫,1222B,letter,GI6,⠛⠊⠖
𒈬,1222C,letter,MIN,⠍⠊⠝
𒈭,1222D,letter,GU10,⠛⠥⠂⠴
𒈮,1222E,letter,TAH,⠞⠁⠓
𒈯,1222F,letter,oakum,⠕⠁⠅⠥⠍
𒈰,12230,letter,ZADIM,⠵⠁⠙⠊⠍
𒈱,12231,letter,MUNshUB,⠍⠥⠝⠩⠥⠃
𒈲,12232,letter,MURGU2,⠍⠥⠗⠛⠥⠆
𒈳,12233,letter,MUsh,⠍⠥⠩
𒈴,12234,letter,MUshxA,⠍⠥⠩⠭⠁
𒈵,12235,letter,MUshxKUR,⠍⠥⠩⠭⠅⠥⠗
𒈶,12236,letter,MUshxZA,⠍⠥⠩⠭⠵⠁
𒈷,12237,letter,RI8,⠗⠊⠦
𒈸,12238,letter,MUsh/MUshxA+NA,⠍⠥⠩⠌⠍⠥⠩⠭⠁⠬⠝⠁
𒈹,12239,letter,MUshcrossingMUsh,⠍⠥⠩⠉⠗⠕⠎⠎⠊⠝⠛⠍⠥⠩
𒈺,1223A,letter,INANNA,⠊⠝⠁⠝⠝⠁
𒈻,1223B,letter,MUsh3xA,⠍⠥⠩⠒⠭⠁
𒈼,1223C,letter,MUsh3xA+DI,⠍⠥⠩⠒⠭⠁⠬⠙⠊
𒈽,1223D,letter,MUsh3xDI,⠍⠥⠩⠒⠭⠙⠊
𒈾,1223E,letter,SUH,⠎⠥⠓
𒈥,12225,letter,MAH,⠍⠁⠓
𒈤,12224,letter,MA2,⠍⠁⠆
𒈣,12223,letter,HASHUR,⠓⠁⠩⠥⠗
𒈕,12215,letter,LU2squared,⠇⠥⠆⠎⠟⠥⠜⠑⠙
𒈊,1220A,letter,LU2xLA+Ash,⠇⠥⠆⠭⠇⠁⠬⠁⠩
𒈋,1220B,letter,LU2xLAGAB,⠇⠥⠆⠭⠇⠁⠛⠁⠃
𒈌,1220C,letter,LU2xME+EN,⠇⠥⠆⠭⠍⠑⠬⠑⠝
𒈍,1220D,letter,DU14,⠙⠥⠂⠲
𒈎,1220E,letter,LU2xNU,⠇⠥⠆⠭⠝⠥
𒈏,1220F,letter,LU2xSI+Ash,⠇⠥⠆⠭⠎⠊⠬⠁⠩
𒈐,12210,letter,LU2xSIK2+BU,⠇⠥⠆⠭⠎⠊⠅⠆⠬⠃⠥
𒈑,12211,letter,AZLAG7,⠁⠵⠇⠁⠛⠶
𒈒,12212,letter,LU2tenu,⠇⠥⠆⠞⠑⠝⠥
𒈓,12213,letter,LU2crossingLU2,⠇⠥⠆⠉⠗⠕⠎⠎⠊⠝⠛⠇⠥⠆
𒈔,12214,letter,LU2opposingLU2,⠇⠥⠆⠕⠏⠏⠕⠎⠊⠝⠛⠇⠥⠆
𒈖,12216,letter,DIM3,⠙⠊⠍⠒
𒈢,12222,letter,MAxTAK4,⠍⠁⠭⠞⠁⠅⠲
𒈗,12217,letter,GUG,⠛⠥⠛
𒈘,12218,letter,LUGAL,⠇⠥⠛⠁⠇
𒈙,12219,letter,DADRUM,⠙⠁⠙⠗⠥⠍
𒈚,1221A,letter,LUGALopposingLUGAL,⠇⠥⠛⠁⠇⠕⠏⠏⠕⠎⠊⠝⠛⠇⠥⠛⠁⠇
𒈛,1221B,letter,LUGALsheshig,⠇⠥⠛⠁⠇⠩⠑⠩⠊⠛
𒈜,1221C,letter,LUH,⠇⠥⠓
𒈝,1221D,letter,NAR,⠝⠜
𒈞,1221E,letter,HUM,⠓⠥⠍
𒈟,1221F,letter,LUM/LUM,⠇⠥⠍⠌⠇⠥⠍
𒈠,12220,letter,LUGUD,⠇⠥⠛⠥⠙
𒈡,12221,letter,MA,⠍⠁
𒊳,122B3,letter,shA3xNE,⠩⠁⠒⠭⠝⠑
𒊴,122B4,letter,shA3xshU2,⠩⠁⠒⠭⠩⠥⠆
𒊵,122B5,letter,shA3xTUR,⠩⠁⠒⠭⠞⠥⠗
𒍅,12345,letter,URUxIsh,⠥⠗⠥⠭⠊⠩
𒍇,12347,letter,URUxLUM,⠥⠗⠥⠭⠇⠥⠍
𒍈,12348,letter,ULU3,⠥⠇⠥⠒
𒍉,12349,letter,URUxPA,⠥⠗⠥⠭⠏⠁
𒍊,1234A,letter,URUxshE,⠥⠗⠥⠭⠩⠑
𒍋,1234B,letter,URUxSIG4,⠥⠗⠥⠭⠎⠊⠛⠲
𒍌,1234C,letter,URUxTU,⠥⠗⠥⠭⠞⠥
𒍍,1234D,letter,URUxU+GUD,⠥⠗⠥⠭⠥⠬⠛⠥⠙
𒍎,1234E,letter,URUxUD,⠥⠗⠥⠭⠥⠙
𒍏,1234F,letter,BANshUR,⠃⠁⠝⠩⠥⠗
𒍐,12350,letter,URUDU,⠥⠗⠥⠙⠥
𒍑,12351,letter,URUDAxU,⠥⠗⠥⠙⠁⠭⠥
𒍒,12352,letter,NITA,⠝⠊⠞⠁
𒍓,12353,letter,UshxA,⠥⠩⠭⠁
𒍔,12354,letter,UshxKU,⠥⠩⠭⠅⠥
𒍕,12355,letter,UshxKUR,⠥⠩⠭⠅⠥⠗
𒍖,12356,letter,UshxTAK4,⠥⠩⠭⠞⠁⠅⠲
𒍗,12357,letter,Z,⠵
𒍘,12358,letter,MuTU,⠍⠥⠞⠥
𒍙,12359,letter,UshUMX,⠥⠩⠥⠍⠭
𒍚,1235A,letter,UTUKI,⠥⠞⠥⠅⠊
𒍛,1235B,letter,UZ3,⠥⠵⠒
𒍜,1235C,letter,UZ3xKASKAL,⠥⠵⠒⠭⠅⠁⠎⠅⠁⠇
𒍝,1235D,letter,UZU,⠥⠵⠥
𒍞,1235E,letter,ZA,⠵⠁
𒍟,1235F,letter,AS4,⠁⠎⠲
𒍆,12346,letter,URUxKI,⠥⠗⠥⠭⠅⠊
𒍄,12344,letter,URUxIM,⠥⠗⠥⠭⠊⠍
𒌨,12328,letter,UNgunu,⠥⠝⠛⠥⠝⠥
𒍃,12343,letter,URUxIGI,⠥⠗⠥⠭⠊⠛⠊
𒌪,1232A,letter,URcrossingUR,⠥⠗⠉⠗⠕⠎⠎⠊⠝⠛⠥⠗
𒌫,1232B,letter,URsheshig,⠥⠗⠩⠑⠩⠊⠛
𒌬,1232C,letter,UR2,⠥⠗⠆
𒌭,1232D,letter,UR2xA+HA,⠥⠗⠆⠭⠁⠬⠓⠁
𒌮,1232E,letter,UR2xA+NA,⠥⠗⠆⠭⠁⠬⠝⠁
𒌯,1232F,letter,UR2xAL,⠥⠗⠆⠭⠁⠇
𒌰,12330,letter,UR2xHA,⠥⠗⠆⠭⠓⠁
𒌱,12331,letter,UR2xNUN,⠥⠗⠆⠭⠝⠥⠝
𒌲,12332,letter,UR2xU2,⠥⠗⠆⠭⠥⠆
𒌳,12333,letter,UR2xU2+Ash,⠥⠗⠆⠭⠥⠆⠬⠁⠩
𒌴,12334,letter,UR2xU2+BI,⠥⠗⠆⠭⠥⠆⠬⠃⠊
𒌵,12335,letter,UR4,⠥⠗⠲
𒌶,12336,letter,BUR/BUR,⠃⠥⠗⠌⠃⠥⠗
𒌷,12337,letter,URI3,⠥⠗⠊⠒
𒌸,12338,letter,RI2,⠗⠊⠆
𒌹,12339,letter,URUxA,⠥⠗⠥⠭⠁
𒌺,1233A,letter,URUxAshGAB,⠥⠗⠥⠭⠁⠩⠛⠁⠃
𒌻,1233B,letter,UKKIN,⠥⠅⠅⠊⠝
𒌼,1233C,letter,URUxDUN,⠥⠗⠥⠭⠙⠥⠝
𒌽,1233D,letter,URUxGA,⠥⠗⠥⠭⠛⠁
𒌾,1233E,letter,URUxGAL,⠥⠗⠥⠭⠛⠁⠇
𒌿,1233F,letter,URUxGAN2tenu,⠥⠗⠥⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒍀,12340,letter,URUxGAR,⠥⠗⠥⠭⠛⠜
𒍁,12341,letter,URUxGU,⠥⠗⠥⠭⠛⠥
𒍂,12342,letter,URUxHA,⠥⠗⠥⠭⠓⠁
𒍠,12360,letter,ZAsquaredxKUR,⠵⠁⠎⠟⠥⠜⠑⠙⠭⠅⠥⠗
𒍡,12361,letter,ZA3,⠵⠁⠒
𒍢,12362,letter,ZAMX,⠵⠁⠍⠭
𒍣,12363,letter,ZI2,⠵⠊⠆
𒎀,12380,letter,KAxAsh3,⠅⠁⠭⠁⠩⠒
𒎁,12381,letter,KAxGIsh,⠅⠁⠭⠛⠊⠩
𒎂,12382,letter,KAxGUD,⠅⠁⠭⠛⠥⠙
𒎃,12383,letter,KAxHIxAsh2,⠅⠁⠭⠓⠊⠭⠁⠩⠆
𒎄,12384,letter,KAxLUM,⠅⠁⠭⠇⠥⠍
𒎅,12385,letter,KAxPA,⠅⠁⠭⠏⠁
𒎆,12386,letter,KAxshUL,⠅⠁⠭⠩⠥⠇
𒎇,12387,letter,KAxTU,⠅⠁⠭⠞⠥
𒎈,12388,letter,KAxUR2,⠅⠁⠭⠥⠗⠆
𒎉,12389,letter,LAGABxGI,⠇⠁⠛⠁⠃⠭⠛⠊
𒎊,1238A,letter,LU2shEshIGxBAD,⠇⠥⠆⠩⠑⠩⠊⠛⠭⠃⠁⠙
𒎋,1238B,letter,LU2xEsh2+LAL,⠇⠥⠆⠭⠑⠩⠆⠬⠇⠁⠇
𒎌,1238C,letter,LU2xshU,⠇⠥⠆⠭⠩⠥
𒎍,1238D,letter,MEsh,⠍⠑⠩
𒎎,1238E,letter,MUsh3xZA,⠍⠥⠩⠒⠭⠵⠁
𒎏,1238F,letter,NA4,⠝⠁⠲
𒎐,12390,letter,NIN,⠝⠊⠝
𒎑,12391,letter,NIN9,⠝⠊⠝⠔
𒎒,12392,letter,NINDA2xBAL,⠝⠊⠝⠙⠁⠆⠭⠃⠁⠇
𒎓,12393,letter,NINDA2xGI,⠝⠊⠝⠙⠁⠆⠭⠛⠊
𒎔,12394,letter,NU11rotated90^,⠝⠥⠂⠂⠗⠕⠞⠁⠞⠑⠙⠔⠴⠘
𒎕,12395,letter,PEsh2,⠏⠑⠩⠆
𒎖,12396,letter,PIR2,⠏⠊⠗⠆
𒎗,12397,letter,SAGxIGIgunu,⠎⠁⠛⠭⠊⠛⠊⠛⠥⠝⠥
𒎘,12398,letter,TI2,⠞⠊⠆
𒍿,1237F,letter,KAxANshE,⠅⠁⠭⠁⠝⠩⠑
𒍾,1237E,letter,HUsh,⠓⠥⠩
𒍽,1237D,letter,GIG,⠛⠊⠛
𒍯,1236F,letter,ZUM,⠵⠥⠍
𒍤,12364,letter,ZE1,⠵⠑⠂
𒍥,12365,letter,ZI/ZI,⠵⠊⠌⠵⠊
𒍦,12366,letter,ZI3,⠵⠊⠒
𒍧,12367,letter,ZIB,⠵⠊⠃
𒍨,12368,letter,ZIBKABAtenu,⠵⠊⠃⠅⠁⠃⠁⠞⠑⠝⠥
𒍩,12369,letter,ZIK,⠵⠊⠅
𒍪,1236A,letter,ZIZ2,⠵⠊⠵⠆
𒍫,1236B,letter,SU,⠎⠥
𒍬,1236C,letter,ZU5,⠵⠥⠢
𒍭,1236D,letter,ZU5xA,⠵⠥⠢⠭⠁
𒍮,1236E,letter,ZUBUR,⠵⠥⠃⠥⠗
𒍰,12370,letter,KAPELAMITE,⠅⠁⠏⠑⠇⠁⠍⠊⠞⠑
𒍼,1237C,letter,GE22,⠛⠑⠆⠆
𒍱,12371,letter,ABxNUN,⠁⠃⠭⠝⠥⠝
𒍲,12372,letter,AB2xA,⠁⠃⠆⠭⠁
𒍳,12373,letter,AMARxKUG,⠁⠍⠜⠭⠅⠥⠛
𒍴,12374,letter,DAGKISIM5xU2+MAsh,⠙⠁⠛⠅⠊⠎⠊⠍⠢⠭⠥⠆⠬⠍⠁⠩
𒍵,12375,letter,DAG3,⠙⠁⠛⠒
𒍶,12376,letter,DIsh+shU,⠙⠊⠩⠬⠩⠥
