Character,Hex,Name,Braille
ἑͅ,03B5+0314+0345,epsilon with dasia,⠓⠑⠔
ἕͅ,03B5+0314+0301+0345,epsilon with dasia and oxia,⠓⠫⠔
ἕ,03B5+0314+0301,epsilon with dasia and oxia,⠓⠫
ἓͅ,03B5+0314+0300+0345,epsilon with dasia and varia,⠓⠉⠔
ἓ,03B5+0314+0300,epsilon with dasia and varia,⠓⠉
ἑ,03B5+0314,epsilon with dasia,⠓⠑
ἐͅ,03B5+0313+0345,epsilon with psili,⠴
ἔͅ,03B5+0313+0301+0345,epsilon with psili and oxia,⠴⠫⠔
ἔ,03B5+0313+0301,epsilon with psili and oxia,⠴⠫
ἒͅ,03B5+0313+0300+0345,epsilon with psili and varia,⠴⠉⠔
ἒ,03B5+0313+0300,epsilon with psili and varia,⠴⠉
ἐ,03B5+0313,epsilon with psili,⠴⠑
έͅ,03B5+0301+0345,epsilon with oxia,⠫⠔
έ,03B5+0301,epsilon with oxia,⠫
ὲͅ,03B5+0300+0345,epsilon with varia,⠉⠔
ὲ,03B5+0300,epsilon with varia,⠉
ε,03B5,epsilon,⠑
δ,03B4,delta,⠙
γ,03B3,gamma,⠛
β,03B2,beta,⠃
αύͅ,03B1+03CD+0345,alpha upsilon with oxia,⠁⠳⠔
αύ,03B1+03CD,alpha upsilon with oxia,⠁⠳
αϋͅ,03B1+03CB+0345,alpha and upsilon with dialytikaa,⠁⠥⠔
αῧͅ,03B1+03CB+0342+0345,alpha and upsilon with perispomeni and dialytika,⠁⠧⠔
αῧ,03B1+03CB+0342,alpha and upsilon with perispomeni and dialytika,⠁⠧
αΰͅ,03B1+03CB+0301+0345,alpha and upsilon with oxia and dialytika,⠁⠳⠔
αΰ,03B1+03CB+0301,alpha and upsilon with oxia and dialytika,⠁⠳
αῢͅ,03B1+03CB+0300+0345,alpha and upsilon with varia and dialytika,⠁⠾⠔
αῢ,03B1+03CB+0300,alpha and upsilon with varia and dialytika,⠁⠾
αϋ,03B1+03CB,alpha and upsilon with dialytikaa,⠁⠥
αϊͅ,03B1+03CA+0345,alpha and iota with dialytikaa,⠁⠊⠔
αῗͅ,03B1+03CA+0342+0345,alpha and iota with perispomeni and dialytika,⠁⠩⠔
αῗ,03B1+03CA+0342,alpha and iota with perispomeni and dialytika,⠁⠩
αΐͅ,03B1+03CA+0301+0345,alpha and iota with oxia and dialytika,⠁⠔
αΐ,03B1+03CA+0301,alpha and iota with oxia and dialytika,⠁
αῒͅ,03B1+03CA+0300+0345,alpha and iota with varia and dialytika,⠁⠌⠔
αῒ,03B1+03CA+0300,alpha and iota with varia and dialytika,⠁⠌
αϊ,03B1+03CA,alpha and iota with dialytikaa,⠁⠊
αυͅ,03B1+03C5+0345,alpha upsilon,⠁⠥⠔
αῦͅ,03B1+03C5+0342+0345,alpha upsilon with perispomeni,⠁⠧⠔
αῦ,03B1+03C5+0342,alpha upsilon with perispomeni,⠁⠧
αὑͅ,03B1+03C5+0314+0345,alpha upsilon with dasia,⠓⠁⠥⠔
αὗͅ,03B1+03C5+0314+0342+0345,alpha upsilon with dasia and perispomeni,⠓⠁⠧⠔
αὗ,03B1+03C5+0314+0342,alpha upsilon with dasia and perispomeni,⠓⠁⠧
αὕͅ,03B1+03C5+0314+0301+0345,alpha upsilon with dasia and oxia,⠓⠁⠳⠔
αὕ,03B1+03C5+0314+0301,alpha upsilon with dasia and oxia,⠓⠁⠳
αὓͅ,03B1+03C5+0314+0300+0345,alpha upsilon with dasia and varia,⠓⠁⠾⠔
αὓ,03B1+03C5+0314+0300,alpha upsilon with dasia and varia,⠓⠁⠾
αὑ,03B1+03C5+0314,alpha upsilon with dasia,⠓⠁⠥
αὐͅ,03B1+03C5+0313+0345,alpha upsilon with psili,⠴⠁⠥⠔
αὖͅ,03B1+03C5+0313+0342+0345,alpha upsilon with psili and perispomeni,⠴⠁⠧⠔
αὖ,03B1+03C5+0313+0342,alpha upsilon with psili and perispomeni,⠴⠁⠧
αὔͅ,03B1+03C5+0313+0301+0345,alpha upsilon with psili and oxia,⠴⠁⠳⠔
αὔ,03B1+03C5+0313+0301,alpha upsilon with psili and oxia,⠴⠁⠳
αὒͅ,03B1+03C5+0313+0300+0345,alpha upsilon with psili and varia,⠴⠁⠾⠔
αὒ,03B1+03C5+0313+0300,alpha upsilon with psili and varia,⠴⠁⠾
αὐ,03B1+03C5+0313,alpha upsilon with psili,⠴⠁⠥
αύͅ,03B1+03C5+0301+0345,alpha upsilon with oxia,⠁⠳⠔
αύ,03B1+03C5+0301,alpha upsilon with oxia,⠁⠳
αὺͅ,03B1+03C5+0300+0345,alpha upsilon with varia,⠁⠾⠔
αὺ,03B1+03C5+0300,alpha upsilon with varia,⠁⠾
αυ,03B1+03C5,alpha upsilon,⠁⠥
αιͅ,03B1+03B9+0345,alpha iota,⠁⠊⠔
αῖͅ,03B1+03B9+0342+0345,alpha iota with perispomeni,⠁⠩⠔
αῖ,03B1+03B9+0342,alpha iota with perispomeni,⠁⠩
αἱͅ,03B1+03B9+0314+0345,alpha iota with dasia,⠓⠁⠊⠔
αἷͅ,03B1+03B9+0314+0342+0345,alpha iota with dasia and perispomeni,⠓⠁⠩⠔
αἷ,03B1+03B9+0314+0342,alpha iota with dasia and perispomeni,⠓⠁⠩
αἵͅ,03B1+03B9+0314+0301+0345,alpha iota with dasia and oxia,⠓⠁⠿⠔
αἵ,03B1+03B9+0314+0301,alpha iota with dasia and oxia,⠓⠁⠿
αἳͅ,03B1+03B9+0314+0300+0345,alpha iota with dasia and varia,⠓⠁⠌⠔
αἳ,03B1+03B9+0314+0300,alpha iota with dasia and varia,⠓⠁⠌
αἱ,03B1+03B9+0314,alpha iota with dasia,⠓⠁⠊
αἰͅ,03B1+03B9+0313+0345,alpha iota with psili,⠴⠁⠊⠔
αἶͅ,03B1+03B9+0313+0342+0345,alpha iota with psili and perispomeni,⠴⠁⠩⠔
αἶ,03B1+03B9+0313+0342,alpha iota with psili and perispomeni,⠴⠁⠩
αἴͅ,03B1+03B9+0313+0301+0345,alpha iota with psili and oxia,⠴⠁⠿⠔
αἴ,03B1+03B9+0313+0301,alpha iota with psili and oxia,⠴⠁⠿
αἲͅ,03B1+03B9+0313+0300+0345,alpha iota with psili and varia,⠴⠁⠌⠔
αἲ,03B1+03B9+0313+0300,alpha iota with psili and varia,⠴⠁⠌
αἰ,03B1+03B9+0313,alpha iota with psili,⠴⠁⠊
αίͅ,03B1+03B9+0301+0345,alpha iota with oxia,⠁⠿⠔
αί,03B1+03B9+0301,alpha iota with oxia,⠁⠿
αὶͅ,03B1+03B9+0300+0345,alpha iota with varia,⠁⠌⠔
αὶ,03B1+03B9+0300,alpha iota with varia,⠁⠌
αι,03B1+03B9,alpha iota,⠁⠊
αΰͅ,03B1+03B0+0345,alpha upsilon with dialytika and oxia,⠁⠳⠔
αΰ,03B1+03B0,alpha upsilon with dialytika and oxia,⠁⠳
αίῳ,03B1+03AF+03C9+0345,alpha iota Greek Omega with oxia,⠁⠺⠔
αίͅ,03B1+03AF+0345,alpha iota with oxia,⠁⠔
αί,03B1+03AF,alpha iota with oxia,⠁
αΐͅ,03B1+0390+0345,alpha and iota with oxia and dialytika,⠁⠔
αΐ,03B1+0390,alpha and iota with oxia and dialytika,⠁
ᾳ,03B1+0345,alpha,⠁⠔
ᾷ,03B1+0342+0345,alpha with perispomeni,⠡⠔
ᾶ,03B1+0342,alpha with perispomeni,⠡
ᾁ,03B1+0314+0345,alpha with dasia,⠓⠁⠔
ᾇ,03B1+0314+0342+0345,alpha with dasia and perispomeni,⠓⠡⠔
ἇ,03B1+0314+0342,alpha with dasia and perispomeni,⠓⠡
ᾅ,03B1+0314+0301+0345,alpha with dasia and oxia,⠓⠜⠔
ἅ,03B1+0314+0301,alpha with dasia and oxia,⠓⠜
ᾃ,03B1+0314+0300+0345,alpha with dasia and varia,⠓⠷⠔
ἃ,03B1+0314+0300,alpha with dasia and varia,⠓⠷
ἁ,03B1+0314,alpha with dasia,⠓⠁
ᾀ,03B1+0313+0345,alpha with psili,⠴⠁⠔
ᾆ,03B1+0313+0342+0345,alpha with psili and perispomeni,⠴⠡⠔
ἆ,03B1+0313+0342,alpha with psili and perispomeni,⠴⠡
ᾄ,03B1+0313+0301+0345,alpha with psili and oxia,⠴⠜⠔
ἄ,03B1+0313+0301,alpha with psili and oxia,⠴⠜
ᾂ,03B1+0313+0300+0345,alpha with psili and varia,⠴⠷⠔
ἂ,03B1+0313+0300,alpha with psili and varia,⠴⠷
ἀ,03B1+0313,alpha with psili,⠴⠁
ᾴ,03B1+0301+0345,alpha with oxia,⠜⠔
ά,03B1+0301,alpha with oxia,⠜
ᾲ,03B1+0300+0345,alpha with varia,⠷⠔
ὰ,03B1+0300,alpha with varia,⠷
α,03B1,alpha,⠁
ΰῳ,03B0+03C9+0345,upsilon omega with dialytika and oxia,⠳⠺⠔
ΰω,03B0+03C9,upsilon omega with dialytika and oxia,⠳⠺
ΰ,03B0,upsilon with dialytika and oxia isolated,⠳
ίῳ,03AF+03C9+0345,iota omega with oxia,⠺⠔
ίͅ,03AF+0345,iota with oxia,⠔
ί,03AF,iota with oxia,⠔
ῄ,03AE+0345,eta with oxia,⠿⠔
ή,03AE,eta with oxia,⠿
έ,03AD+0345,epsilon with oxia,⠫⠔
ᾴ,03AC+0345,alpha with oxia,⠜⠔
ά,03AC,alpha with oxia,⠜
Ω,03A9,Capitol Omega,⠠⠺
Ψ,03A8,Capitol Psi,⠠⠽
Χ,03A7,Capitol Chi,⠠⠯
Φ,03A6,Capitol Fi,⠠⠋
Υ,03A5,Capitol Upsilon,⠠⠥
Τ,03A4,Capital Tau,⠠⠞
Σ,03A3,Capitol Sigma,⠠⠎
Ρ,03A1,Capitil rho,⠠⠗
Π,03A0,Capitol Pi,⠠⠏
Ο,039F,Capitol Omicron,⠠⠕
Ξ,039E,Capital Xi,⠠⠭
Ν,039D,Capitol Nu,⠠⠝
Μ,039C,Capitol Mu,⠠⠍
Λ,039B,Capitol Lambda,⠠⠇
Κ,039A,Capitol Kappa,⠠⠅
ΐῳ,0390+03C9+0345,iota omega with dialytika and oxia,⠺⠔
ΐω,0390+03C9,iota omega with dialytika and oxia,⠺

*,,star,⠡
+,,plus,⠬
/,,slash,⠌
\\,,back slash,⠳
=,,equals,⠿
_,,line,⠢
^,,carrot,⠘
<,,less,⠣
>,,greater,⠜
[,,left bracket,⠪
],,right bracket,⠻
(,,left paren,⠷
),,right paren,⠾
#,,number,⠸
$,,dollar,⠫
&,,and,⠯
%,,percent,⠩
-,,dash,⠤
!,,bang,⠮
:,,colon,⠱
;,,semi,⠰
?,,question,⠹
.,,dot,⠲
',,tick,⠄
",",,comma,⠂
"""",,quote,⠠⠶
 ,, , 
