Character,Hex,Type,Name,Braille
𒇽,121FD,letter,LU2,⠇⠥
𒇾,121FE,letter,LU2 TIMES AL,⠇⠥⠡⠁⠇
𒇿,121FF,letter,LU2 TIMES BAD,⠇⠥⠡⠃⠁⠙
𒈀,12200,letter,LU2 TIMES ESH2,⠇⠥⠡⠑⠩
𒈁,12201,letter,LU2 TIMES ESH2 TENU,⠇⠥⠡⠑⠩ ⠞⠑⠝⠥
𒈂,12202,letter,LU2 TIMES GAN2 TENU,⠇⠥⠡⠛⠁⠝ ⠞⠑⠝⠥
𒈃,12203,letter,LU2 TIMES HI TIMES BAD,⠇⠥⠡⠓⠊⠡⠃⠁⠙
𒈄,12204,letter,LU2 TIMES IM,⠇⠥⠡⠊⠍
𒇫,121EB,letter,LAGAB SQUARED,⠇⠁⠛⠁⠃⠘⠸
𒇩,121e9,letter,LAGAB TIMES UD,⠇⠁⠛⠁⠃⠡⠥⠙
𒈾,1223E,letter,NA,⠝⠁
𒇨,121e8,letter,LAGAB TIMES U2 PLUS ASH,⠇⠁⠛⠁⠃⠡⠥⠬⠁⠩
𒀁,12001,letter,A TIMES A,⠁⠡⠁
𒇎,121CE,letter,LAGAB TIMES IM PLUS LU,⠇⠁⠛⠁⠃⠡⠊⠍⠬⠇⠥
𒇏,121CF,letter,LAGAB TIMES KI,⠇⠁⠛⠁⠃⠡⠅⠊
𒇐,121D0,letter,LAGAB TIMES KIN,⠇⠁⠛⠁⠃⠡⠅⠊⠝
𒇑,121D1,letter,LAGAB TIMES KU3,⠇⠁⠛⠁⠃⠡⠅⠥⠒
𒇒,121D2,letter,LAGAB TIMES KUL,⠇⠁⠛⠁⠃⠡⠅⠥⠇
𒇓,121D3,letter,LAGAB TIMES KUL PLUS HI PLUS A,⠇⠁⠛⠁⠃⠡⠅⠥⠇⠬⠓⠊⠬⠁
𒇔,121D4,letter,LAGAB TIMES LAGAB,⠇⠁⠛⠁⠃⠡⠇⠁⠛⠁⠃
𒇕,121D5,letter,LAGAB TIMES LISH,⠇⠁⠛⠁⠃⠡⠇⠊⠩
𒇖,121D6,letter,LAGAB TIMES LU,⠇⠁⠛⠁⠃⠡⠇⠥
𒇗,121D7,letter,LAGAB TIMES LUL,⠇⠁⠛⠁⠃⠡⠇⠥⠇
𒇘,121D8,letter,LAGAB TIMES ME,⠇⠁⠛⠁⠃⠡⠍⠑
𒇙,121D9,letter,LAGAB TIMES ME PLUS EN,⠇⠁⠛⠁⠃⠡⠍⠑⠬⠑⠝
𒇚,121DA,letter,LAGAB TIMES MUSH,⠇⠁⠛⠁⠃⠡⠍⠥⠩
𒇛,121DB,letter,LAGAB TIMES NE,⠇⠁⠛⠁⠃⠡⠝⠑
𒇜,121DC,letter,LAGAB TIMES SHE PLUS SUM,⠇⠁⠛⠁⠃⠡⠩⠑⠬⠎⠥⠍
